city_name,pearson_corr,pearson_pvalue,kendall_tau,kendall_tau_pvalue,mean_connectivity,std_connectivity,mean_accessibility,std_accessibility,median_connectivity,median_accessibility
Addis Ababa,0.9648111019163872,0.000437755390352995,0.8095238095238096,0.010714285714285714,0.6642865297444984,0.05416825949316269,0.36815356634245866,0.08271776927037094,0.6561159800017934,0.37501142213167293
Adelaide,0.750168138671808,0.01989879202402364,0.5555555555555556,0.04461529982363316,0.25351958197881636,0.02961898173667749,0.3998645112404082,0.04288523070882631,0.2592936963377903,0.41386206253487606
Amsterdam,0.9256613291419838,0.0003427485525511012,0.7777777777777778,0.0024250440917107582,0.5249113341362704,0.031144261975980934,0.47436247221696437,0.06571467256261772,0.5292787920899741,0.46502843353615686
Atlanta,0.7968018050215315,0.01790824556963958,0.7857142857142856,0.005505952380952381,0.4821690424461864,0.09080336311186044,0.41359217306477497,0.11930122981549413,0.46485732225544013,0.4100986992696247
Auckland,0.7825904433534125,0.001564500192873465,0.5897435897435896,0.0042892835687974576,0.5362305150466848,0.11800610905186848,0.44052122276816486,0.049235979004760975,0.5527511052428948,0.4403167117571573
Bangkok,0.8009706521033293,3.6745530206549275e-08,0.620967741935484,7.746489342078325e-08,0.445197505454394,0.07528979420886851,0.30624886757786723,0.1285165527520431,0.44349198897965614,0.2961070902943328
Barcelona,0.8516492630688421,0.03137946457820342,0.7333333333333333,0.05555555555555555,0.6262034947181424,0.03760113895440926,0.7070141230365409,0.03698947391334816,0.6213430823978539,0.7059289517288226
Bari,0.9666280884625131,0.033371911537486865,1.0,0.08333333333333333,0.49647317282871606,0.12295771025903561,0.5528906725759938,0.08365996417308703,0.49981301202724093,0.5715861412647262
Beijing,,,,,0.0,0.0,0.30397502159195455,0.07843076440080986,0.0,0.317538932291748
Berlin,0.8475251492670717,1.269052713707683e-08,0.6455026455026455,1.8880103536860112e-07,0.6383472101156801,0.061998363153486925,0.5378023893806684,0.07222415611455012,0.643682979527414,0.5229150172246562
Bogota,0.7588501144976639,0.006770426206639431,0.4909090909090909,0.04053235730319064,0.3093809821731899,0.03609102872730078,0.5480435861299348,0.07761638785728675,0.3071108402364342,0.5523843255505325
Bologna,0.8842192834432222,0.0193317311450618,0.7333333333333333,0.05555555555555555,0.6047068734401693,0.0655107349426902,0.5790386755806375,0.056232589773314925,0.6051393185039615,0.5506002781346381
Boston,0.39154542708907575,0.18581272925997225,0.25641025641025633,0.25185761030379084,0.542278491550932,0.04809456242609747,0.5496857072840745,0.08051330244412506,0.5373494938588832,0.5783191055303669
Brisbane,0.880115748631065,6.751520249974441e-07,0.7660818713450293,2.9769299694187086e-07,0.5696831902061532,0.09778598945709387,0.45238739282059753,0.08432439848524027,0.5640958664067939,0.4396369732254718
Budapest,0.8954594001903223,1.499226226951097e-05,0.7362637362637363,7.724287672204338e-05,0.5865344847498929,0.08404731899219302,0.5220548535719455,0.06161492354125255,0.5513444171592121,0.5139832074519908
Buenos Aires,0.8778505865968071,0.12214941340319285,1.0,0.08333333333333333,0.1539214430665862,0.009960158358131709,0.5978745038246596,0.04610636967295061,0.1493933292270676,0.5968487149733022
